sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 63	i	314304.977	314344.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2971	2971	phone	phone	1994	1994	SEGMENT	13860850	13862613	44100	314324.977	 20.00000	0.5	380.0	2255.0	2747.5	3585.0	75.63974	minti	mark01vox_ker	314134.977	314344.977	0.9047619
 64	i	330044.977	330124.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3107	3107	phone	phone	2130	2130	SEGMENT	14554984	14558511	44100	330084.977	 40.00000	0.5	287.0	2325.5	3274.0	3876.5	69.75081	irku	mark01vox_ker	330044.977	330294.977	0.1600000
 65	i	333364.977	333414.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3134	3134	phone	phone	2157	2157	SEGMENT	14701396	14703600	44100	333389.977	 25.00000	0.5	389.5	2150.5	2581.5	3641.5	79.27578	minti	mark01vox_ker	333294.977	333514.977	0.4318182
 66	i	333484.977	333514.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3137	3137	phone	phone	2160	2160	SEGMENT	14706688	14708010	44100	333499.977	 15.00000	0.5	306.0	1448.5	2532.0	2979.5	76.46680	minti	mark01vox_ker	333294.977	333514.977	0.9318182
 67	i	333824.977	333884.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3142	3142	phone	phone	2165	2165	SEGMENT	14721682	14724327	44100	333854.977	 30.00000	0.5	282.0	2162.5	2772.0	3784.5	77.52277	ziɓiŋ	mark01vox_ker	333714.977	334084.977	0.3783784
 68	i	333934.977	334024.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3144	3144	phone	phone	2167	2167	SEGMENT	14726533	14730501	44100	333979.977	 45.00000	0.5	303.5	2246.5	3023.0	3653.0	79.03132	ziɓiŋ	mark01vox_ker	333714.977	334084.977	0.7162162
 69	i	336254.977	336284.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3164	3164	phone	phone	2187	2187	SEGMENT	14828845	14830167	44100	336269.977	 15.00000	0.5	256.0	1136.5	2484.0	2797.0	73.59644	humi	mark01vox_ker	336044.977	336284.977	0.9375000
 70	i	338304.977	338334.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3182	3182	phone	phone	2205	2205	SEGMENT	14919250	14920572	44100	338319.977	 15.00000	0.5	414.5	1952.0	2459.0	3471.0	78.14632	minti	mark01vox_ker	338244.977	338434.977	0.3947368
 71	i	338404.977	338434.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3185	3185	phone	phone	2208	2208	SEGMENT	14923660	14924982	44100	338419.977	 15.00000	0.5	290.5	1253.5	2434.5	3019.5	75.66636	minti	mark01vox_ker	338244.977	338434.977	0.9210526
 72	iː	338864.977	338964.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3192	3192	phone	phone	2215	2215	SEGMENT	14943946	14948355	44100	338914.977	 50.00000	0.5	298.5	2223.5	3081.5	3709.5	76.39665	ciiriŋ	mark01vox_ker	338734.977	339124.977	0.4615385
 73	i	339014.977	339084.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3194	3194	phone	phone	2217	2217	SEGMENT	14950561	14953647	44100	339049.977	 35.00000	0.5	355.5	2206.5	2780.5	3750.5	77.55610	ciiriŋ	mark01vox_ker	338734.977	339124.977	0.8076923
 74	i	342694.977	342744.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3231	3231	phone	phone	2254	2254	SEGMENT	15112849	15115053	44100	342719.977	 25.00000	0.5	316.0	2281.5	3006.0	3630.5	76.53850	minti	mark01vox_ker	342624.977	342934.977	0.3064516
 75	i	342874.977	342934.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	3234	3234	phone	phone	2257	2257	SEGMENT	15120787	15123432	44100	342904.977	 30.00000	0.5	322.5	2217.5	2958.5	3872.5	78.22567	minti	mark01vox_ker	342624.977	342934.977	0.9032258
